1: ([37.799051, -122.259443], [37.815765, -122.171586])
2: ([37.562933, -122.386151], [37.711335, -122.281241])
3: ([37.679138, -122.284521], [37.542789, -122.071864])
4: ([37.681364, -122.188360], [37.548258, -122.112980])
5: ([37.534957, -122.273295], [37.502206, -122.275559])
6: ([37.501088, -122.106469], [37.748176, -122.235723])
7: ([37.505243, -122.233348], [37.577889, -122.296121])
8: ([37.581297, -122.346456], [37.563187, -122.301170])
9: ([37.501394, -122.308334], [37.565851, -122.055719])
10: ([37.673831, -122.271392], [37.576932, -122.159434])
11: ([37.436849, -122.234078], [37.735985, -122.296391])
12: ([37.490871, -122.214583], [37.463538, -122.198257])
13: ([37.815648, -122.159191], [37.578256, -122.346233])
14: ([37.595003, -122.382701], [37.631918, -122.338018])
15: ([37.497053, -122.266878], [37.711541, -122.042345])
